ID,Stock number,Artist,Title,Year,Dimensions,Main image URL (medium),Retail Price,Image,New Price
239,269,Patricia Qualls,Layers and Layers of Our History,2020,"48 x 36 in
121.9 x 91.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/10dbfb787834d61d5979b15067ea5680j.jpg,5500,,6999
238,268,Patricia Qualls,"Sacred Weaving of Democracy: Century after Century, Decade after Decade, Day by Day",2020,"96 x 60 in
243.8 x 152.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/3c257aeb526a0203b887cbe85b2e9afcj.jpg,25000,,34999
237,267,Patricia Qualls,California Grace,2020,"36 x 30 in
91.4 x 76.2 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/866951c50f4fae19111ee7c9de2e9425j.jpg,3500,,3999
236,266,Patricia Qualls,,2020,78 x 60 in,https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/77a9a8595537c44fadc764bdf7c49866j.jpg,14500,,17999
235,265,Patricia Qualls,Carmel Mist,2015,"40 x 40 in
101.6 x 101.6 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/f13d1f9d4ab40cd6e301e20bbe02abc0j.jpg,6000,,6999
234,264,Patricia Qualls,Carmel Blessings,2020,"48 x 48 in
121.9 x 121.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/5931325c58c4c587050bc8aa87b5b42aj.jpg,10000,,11999
233,263,Patricia Qualls,Too Much to Say,2020,"84 x 60 in
213.4 x 152.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/36dae1a5ea95b612aa6984928a8e2c56j.jpg,14000,,16999
232,EC-4,Emerson Christie,California Bliss,2020,"30 x 40 in
76.2 x 101.6 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/9fdfae23e06ddc95bd4e538d5f2e6682j.jpg,3900,,4999
231,EC-3,Emerson Christie,Capricious Skies,2020,"40 x 20 in
101.6 x 50.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/3c22c6b4104b41f1e7bbe924d3f4637ej.jpg,2500,,2999
230,EC-2,Emerson Christie,Unfettered Expression,2020,"40 x 30 in
101.6 x 76.2 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/ba44cbf509a19cd727b2e6f8a4e0028fj.jpg,3900,,4999
229,EC-1,Emerson Christie,When Angels Meet,2020,"30 x 40 in
76.2 x 101.6 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/6b12470e1ce9ecc4a72bc59c1d4e4106j.jpg,3900,,4999
228,258,Patricia Qualls,A Tranquil Space,2020,"48 x 70 in
121.9 x 177.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/14d7c4c8be113899647510050c33dff3j.jpg,11500,,13999
227,257,Patricia Qualls,A Place of Rest,2020,"78 x 60 in
198.1 x 152.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/20acf8b279c035c78315882032a6b581j.jpg,14500,,17999
226,256,Patricia Qualls,Carmel Grace,2020,"48 x 36 in
121.9 x 91.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/e518288e8e214a2e79cc9a35d704cedcj.jpg,6500,,7999
225,255,Patricia Qualls,Love & Blessings to Our Children,2020,"60 x 48 in
152.4 x 121.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/53590fe7918edb2594aa7e252a1fa60cj.jpg,10500,,12999
224,254,Patricia Qualls,Genius Series,,48 x 72 in,https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/389ca0dd2520ac9afcbba87148ba27bbj.jpg,11500,,13999
223,253,Patricia Qualls,Fauci: The Times We Live,2020,48 x 72 in ,https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/8db006bbb98e8e715a5648747f95192dj.jpg,12500,,15999
222,252,Patricia Qualls,Layers of Sacred Weavings,2019-2020,"48 x 70 in
121.9 x 177.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/c5589bdfe27958d3e1bae56068336b4ej.jpg,12000,,14999
221,251,Patricia Qualls,Labyrinth of Life,2019,20 x 40 in,https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/791ade711342d27a4d0589ff2a13f976j.jpg,2900,,3999
220,,Patricia Qualls,Commission (Companion Piece),2020,48 x 48 in,,7600,,9129
218,,Patricia Qualls,Commission (Triptych Sticks),2020,,,12000,,14499
217,,Patricia Qualls,Commission (Passages/Love Heals),2020,,,14500,,17499
216,,Patricia Qualls,Commission (Blessings to Children),2020,,,12500,,15099
